README FIRST
-----
Fields:

Registration date
Total usage time	(in hours)
Pets				(YES or NO)
Carpet score		(1 to 9)
Sent for repair		(YES or NO)
Failure date
Battery, Impact sensor and IR sensor status	(OK or Damage)
----
Registration date,Total usage time,Pets,Carpet score,Sent for repair,Failure date,Battery status,Impact status,IR status
1Feb2016,1866,NO,5,NO,---,---,---,---
31Jan2016,2756,YES,4,NO,---,---,---,---
11Dec2016,1373,YES,4,NO,---,---,---,---
17Sep2019,115,NO,6,NO,---,---,---,---
24Oct2019,50,NO,6,NO,---,---,---,---
12Sep2018,588,NO,3,NO,---,---,---,---
31Aug2018,548,NO,4,NO,---,---,---,---
5Sep2017,1260,NO,2,NO,---,---,---,---
5Jan2015,1591,YES,3,YES,26Nov2019,OK,OK,OK
16Jan2018,837,NO,2,NO,---,---,---,---
8Mar2019,235,NO,2,NO,---,---,---,---
4Oct2018,371,NO,2,NO,---,---,---,---
6Apr2017,1017,NO,4,NO,---,---,---,---
5Sep2017,1645,YES,6,YES,7Jun2019,Damage,OK,OK
8Sep2017,528,NO,2,NO,---,---,---,---
3Jan2015,1069,NO,1,NO,---,---,---,---
11Oct2016,854,NO,4,NO,---,---,---,---
22Jan2018,836,NO,2,NO,---,---,---,---
22Feb2019,387,NO,2,NO,---,---,---,---
13Oct2016,1881,YES,3,NO,---,---,---,---
19Jan2017,1592,NO,5,YES,3Dec2019,Damage,OK,OK
13Nov2017,558,NO,2,NO,---,---,---,---
12Dec2017,843,YES,3,NO,---,---,---,---
7Aug2018,718,NO,4,NO,---,---,---,---
22Dec2016,2459,YES,4,NO,---,---,---,---
6Aug2019,62,NO,2,NO,---,---,---,---
24Oct2019,95,NO,3,NO,---,---,---,---
2Mar2016,1040,NO,4,NO,---,---,---,---
15Aug2018,373,NO,5,NO,---,---,---,---
9Jul2019,336,YES,2,NO,---,---,---,---
6Jan2018,913,NO,2,NO,---,---,---,---
27Feb2018,1672,YES,3,YES,29Oct2019,Damage,OK,OK
8Sep2019,349,YES,2,NO,---,---,---,---
2Apr2019,299,NO,8,NO,---,---,---,---
24Nov2017,1546,YES,3,NO,---,---,---,---
8Feb2019,246,NO,2,NO,---,---,---,---
27Jul2015,1416,NO,5,NO,---,---,---,---
27Oct2018,584,NO,3,NO,---,---,---,---
12Feb2018,1179,YES,2,NO,---,---,---,---
29Sep2015,3043,YES,2,NO,---,---,---,---
27May2015,1565,NO,5,NO,---,---,---,---
27Apr2017,712,NO,2,NO,---,---,---,---
24Nov2018,986,YES,1,NO,---,---,---,---
1Sep2018,642,NO,3,NO,---,---,---,---
1Feb2019,325,NO,3,NO,---,---,---,---
7Nov2015,1312,NO,5,NO,---,---,---,---
22Sep2019,213,YES,6,NO,---,---,---,---
20Jun2016,1424,NO,3,NO,---,---,---,---
30Sep2015,3065,YES,2,YES,23Nov2019,Damage,OK,OK
6Aug2018,661,YES,4,NO,---,---,---,---
14Aug2016,2438,YES,5,NO,---,---,---,---
23Nov2018,431,NO,2,NO,---,---,---,---
21Dec2016,116,NO,2,YES,22May2017,OK,OK,Damage
24May2018,344,NO,3,NO,---,---,---,---
17Nov2018,488,NO,4,NO,---,---,---,---
10Dec2015,1594,NO,4,YES,5Mar2019,OK,OK,Damage
23Feb2015,1820,NO,2,NO,---,---,---,---
5Sep2015,2672,YES,6,YES,5Jan2019,Damage,OK,OK
26May2018,452,NO,2,NO,---,---,---,---
3Sep2019,167,NO,3,NO,---,---,---,---
2Oct2017,737,NO,2,NO,---,---,---,---
3Jan2018,893,NO,3,NO,---,---,---,---
26Dec2015,2381,YES,2,NO,---,---,---,---
4Sep2017,1760,YES,5,NO,---,---,---,---
24Nov2015,2540,YES,3,YES,8Jun2019,OK,Damage,OK
5Apr2017,898,NO,4,NO,---,---,---,---
1Aug2016,1569,NO,4,NO,---,---,---,---
1Aug2015,2148,YES,1,NO,---,---,---,---
6Dec2015,2233,YES,4,YES,8Sep2018,Damage,OK,OK
25Aug2018,437,NO,5,NO,---,---,---,---
22Jan2017,1234,NO,3,NO,---,---,---,---
26Jan2017,1238,NO,5,NO,---,---,---,---
27May2017,1757,YES,3,NO,---,---,---,---
19Feb2017,1235,NO,3,NO,---,---,---,---
7Sep2015,2085,YES,3,YES,23Jul2017,Damage,OK,OK
14Feb2019,370,NO,2,NO,---,---,---,---
17Dec2017,553,YES,5,NO,---,---,---,---
21Dec2018,399,NO,1,NO,---,---,---,---
5Nov2018,599,YES,2,NO,---,---,---,---
4Aug2019,97,NO,1,NO,---,---,---,---
25Apr2019,234,NO,4,NO,---,---,---,---
1Aug2016,1325,NO,2,NO,---,---,---,---
18Apr2016,1445,NO,2,NO,---,---,---,---
17Sep2018,471,NO,2,NO,---,---,---,---
26Sep2018,1067,YES,2,NO,---,---,---,---
4Aug2019,355,YES,3,NO,---,---,---,---
19Dec2018,422,NO,6,NO,---,---,---,---
1Sep2015,2379,NO,3,YES,26Aug2019,OK,Damage,OK
9Jun2016,805,NO,5,NO,---,---,---,---
22Dec2015,2112,YES,3,YES,10Feb2018,Damage,OK,OK
2Dec2018,469,NO,3,NO,---,---,---,---
24Aug2015,1185,YES,4,NO,---,---,---,---
24Aug2015,1408,YES,3,YES,6May2017,Damage,OK,OK
12May2015,2463,NO,4,NO,---,---,---,---
8Apr2015,2748,YES,3,YES,6Nov2018,Damage,OK,OK
29Aug2017,771,NO,3,NO,---,---,---,---
25Jul2015,1857,NO,3,NO,---,---,---,---
19Sep2018,426,YES,4,NO,---,---,---,---
28Aug2018,454,NO,4,NO,---,---,---,---
5Jun2019,269,NO,5,NO,---,---,---,---
2Aug2017,641,NO,2,NO,---,---,---,---
5Apr2019,217,NO,3,NO,---,---,---,---
19Mar2017,1842,YES,2,NO,---,---,---,---
16Oct2015,1536,NO,1,NO,---,---,---,---
18Mar2017,1275,NO,4,NO,---,---,---,---
3Nov2019,98,YES,1,NO,---,---,---,---
3Jun2017,1124,YES,3,YES,22Apr2018,Damage,OK,OK
5Apr2016,1302,NO,3,NO,---,---,---,---
19Apr2016,1712,NO,3,NO,---,---,---,---
16Sep2017,2234,YES,4,NO,---,---,---,---
1Apr2018,793,YES,4,NO,---,---,---,---
6Sep2016,1101,NO,3,NO,---,---,---,---
22Apr2015,2008,NO,1,NO,---,---,---,---
4Apr2017,2162,YES,4,YES,19Oct2019,Damage,OK,OK
12Mar2019,409,NO,1,NO,---,---,---,---
15Nov2017,774,NO,4,NO,---,---,---,---
7Oct2016,2586,YES,3,YES,23Jun2019,Damage,OK,OK
26Sep2017,980,NO,4,NO,---,---,---,---
19Jun2019,479,YES,2,NO,---,---,---,---
13Jun2017,981,NO,3,NO,---,---,---,---
10Nov2015,566,NO,3,YES,12Mar2017,OK,OK,Damage
18Sep2017,798,NO,4,NO,---,---,---,---
22Oct2019,67,NO,3,NO,---,---,---,---
26Jul2016,1481,NO,3,NO,---,---,---,---
7Feb2019,322,NO,3,NO,---,---,---,---
14Jul2016,2350,YES,2,YES,14Apr2019,Damage,OK,OK
5Dec2015,2124,NO,3,NO,---,---,---,---
30Mar2015,2321,NO,3,YES,27Dec2019,OK,OK,OK
24Mar2016,1686,YES,3,NO,---,---,---,---
3Oct2016,1574,YES,2,YES,10Jan2019,OK,OK,Damage
18Oct2015,1441,NO,4,NO,---,---,---,---
9Jul2016,1412,NO,3,NO,---,---,---,---
2Feb2015,1013,NO,4,NO,---,---,---,---
25Dec2019,7,NO,1,NO,---,---,---,---
8Jan2019,228,NO,4,NO,---,---,---,---
8Jun2015,1940,NO,2,NO,---,---,---,---
8May2019,144,NO,3,NO,---,---,---,---
9Oct2017,279,NO,4,NO,---,---,---,---
8Feb2017,2354,YES,5,YES,8Aug2019,Damage,OK,OK
4May2015,2147,NO,1,YES,13Jul2019,OK,Damage,OK
22Oct2017,738,NO,3,NO,---,---,---,---
10May2015,813,NO,2,YES,27Nov2017,Damage,OK,OK
22Jan2016,1338,YES,3,NO,---,---,---,---
30Sep2017,1694,YES,2,NO,---,---,---,---
30May2017,1898,YES,3,NO,---,---,---,---
19Oct2015,816,NO,3,YES,3Aug2019,OK,OK,OK
1Oct2015,1044,NO,2,NO,---,---,---,---
30Jun2017,1313,YES,3,NO,---,---,---,---
14Sep2019,95,NO,5,NO,---,---,---,---
2Sep2016,1791,YES,3,YES,1Dec2018,Damage,OK,OK
11Dec2015,2461,NO,2,NO,---,---,---,---
7May2016,1731,NO,3,NO,---,---,---,---
27Aug2017,1919,YES,1,NO,---,---,---,---
9Feb2015,2172,YES,2,YES,28Apr2018,OK,Damage,OK
29Dec2018,115,NO,3,NO,---,---,---,---
21Jul2015,3243,YES,2,YES,26Dec2019,Damage,OK,OK
12Sep2017,866,YES,3,NO,---,---,---,---
9Nov2017,1256,YES,5,YES,27Dec2018,Damage,OK,OK
4Feb2018,555,NO,1,NO,---,---,---,---
29Jul2018,506,NO,1,NO,---,---,---,---
14Aug2015,2395,YES,3,NO,---,---,---,---
21Jul2016,2336,YES,3,NO,---,---,---,---
23Sep2019,100,NO,3,NO,---,---,---,---
2Jul2017,1783,YES,4,NO,---,---,---,---
4Sep2015,2099,YES,5,NO,---,---,---,---
7May2019,255,NO,3,NO,---,---,---,---
10Jan2016,1738,NO,5,NO,---,---,---,---
17Aug2019,254,YES,7,NO,---,---,---,---
8Jun2019,273,NO,2,NO,---,---,---,---
6Sep2015,2596,YES,5,YES,6Feb2019,Damage,OK,OK
5Dec2018,860,YES,5,NO,---,---,---,---
7Apr2017,1822,YES,5,NO,---,---,---,---
5Sep2015,2833,YES,2,YES,19Apr2019,OK,Damage,OK
5Jun2019,289,NO,4,NO,---,---,---,---
6Sep2016,1117,NO,4,NO,---,---,---,---
5Aug2016,1243,YES,3,NO,---,---,---,---
7Jan2017,1098,NO,2,NO,---,---,---,---
24May2017,1424,NO,4,NO,---,---,---,---
2Nov2016,341,NO,2,YES,20Dec2018,OK,OK,Damage
30Apr2017,651,NO,6,NO,---,---,---,---
2Apr2015,251,YES,4,YES,13Feb2016,OK,OK,Damage
9Dec2015,2191,NO,1,YES,24May2019,OK,Damage,OK
30Nov2019,41,NO,5,NO,---,---,---,---
22Aug2016,446,YES,2,YES,13Apr2019,OK,OK,Damage
9Nov2015,1735,NO,5,NO,---,---,---,---
10Jun2017,1198,YES,7,YES,30Sep2018,Damage,OK,OK
4Feb2015,847,NO,4,NO,---,---,---,---
11Sep2016,1143,YES,4,NO,---,---,---,---
24Feb2015,1691,NO,3,YES,16May2019,OK,OK,OK
3May2019,362,YES,3,NO,---,---,---,---
29Aug2018,644,NO,2,NO,---,---,---,---
29Jul2016,1191,NO,3,NO,---,---,---,---
6Dec2016,759,NO,4,NO,---,---,---,---
30Aug2016,1252,NO,3,NO,---,---,---,---
13Jun2015,1071,NO,2,NO,---,---,---,---
14Oct2018,493,NO,3,NO,---,---,---,---
6Jan2018,559,NO,2,NO,---,---,---,---
23Sep2015,1263,NO,4,NO,---,---,---,---
1Mar2015,1892,NO,2,NO,---,---,---,---
2Jun2017,1978,YES,3,NO,---,---,---,---
22Mar2017,2403,YES,5,YES,9Sep2019,Damage,OK,OK
21Apr2015,1417,NO,4,NO,---,---,---,---
21Aug2016,2674,YES,3,NO,---,---,---,---
24May2019,485,YES,5,NO,---,---,---,---
27Aug2019,114,YES,3,NO,---,---,---,---
17Dec2016,1090,NO,2,NO,---,---,---,---
18Oct2015,1031,NO,3,NO,---,---,---,---
7Aug2016,1483,NO,5,NO,---,---,---,---
14Jul2016,1556,NO,3,NO,---,---,---,---
16Jul2015,2546,YES,3,YES,17Mar2019,OK,Damage,OK
24Nov2019,75,YES,3,NO,---,---,---,---
26Jun2017,1018,NO,2,NO,---,---,---,---
19Jun2015,479,NO,4,NO,---,---,---,---
22Jan2016,2500,YES,5,YES,22Apr2018,Damage,OK,OK
27Aug2019,296,YES,3,NO,---,---,---,---
26Jun2016,1347,NO,4,NO,---,---,---,---
7Apr2018,748,YES,4,NO,---,---,---,---
4Jul2019,224,NO,4,NO,---,---,---,---
15Dec2019,45,YES,4,NO,---,---,---,---
24Feb2017,1083,NO,2,YES,21Jun2019,OK,OK,Damage
20Dec2016,2197,YES,2,NO,---,---,---,---
17Sep2015,1113,YES,2,YES,15Oct2016,Damage,OK,OK
25May2016,804,NO,2,NO,---,---,---,---
28Oct2017,1614,YES,4,NO,---,---,---,---
4Sep2019,172,YES,2,NO,---,---,---,---
16Oct2016,1084,NO,5,NO,---,---,---,---
18Mar2019,378,NO,4,NO,---,---,---,---
12Aug2018,555,NO,2,NO,---,---,---,---
2Oct2018,546,NO,3,NO,---,---,---,---
15Aug2019,188,YES,2,NO,---,---,---,---
5Jan2015,2348,NO,3,NO,---,---,---,---
20Oct2015,3350,YES,2,YES,27Sep2019,OK,Damage,OK
30Dec2016,469,NO,1,NO,---,---,---,---
18May2018,603,NO,2,NO,---,---,---,---
27May2017,1297,YES,4,NO,---,---,---,---
1Sep2017,778,NO,3,NO,---,---,---,---
1Aug2016,1713,YES,4,NO,---,---,---,---
27Jan2019,254,NO,2,NO,---,---,---,---
17Jun2016,2200,YES,4,YES,23Jun2019,Damage,OK,OK
17Jan2017,1180,YES,4,NO,---,---,---,---
16Jun2015,1307,NO,3,NO,---,---,---,---
29Dec2018,414,NO,4,NO,---,---,---,---
18Oct2016,2757,YES,4,NO,---,---,---,---
15Mar2015,1142,NO,4,NO,---,---,---,---
17Mar2015,559,NO,6,NO,---,---,---,---
9Oct2019,132,YES,5,NO,---,---,---,---
12Nov2016,1503,YES,8,NO,---,---,---,---
12Jan2019,442,NO,3,NO,---,---,---,---
20Jul2019,233,NO,3,NO,---,---,---,---
14Mar2017,2301,YES,2,NO,---,---,---,---
18Nov2017,695,NO,1,NO,---,---,---,---
15May2015,3023,YES,4,YES,13Jul2018,Damage,OK,OK
28Oct2015,1412,NO,3,NO,---,---,---,---
13Sep2018,349,NO,3,NO,---,---,---,---
18May2017,1363,NO,5,NO,---,---,---,---
5Jun2018,990,YES,1,NO,---,---,---,---
4Oct2019,192,YES,2,NO,---,---,---,---
27Jun2017,1120,YES,5,YES,20Jan2019,Damage,OK,OK
9May2017,1587,NO,4,NO,---,---,---,---
19Oct2017,1785,YES,4,YES,14Jul2019,Damage,OK,OK
6Apr2018,1299,YES,3,NO,---,---,---,---
25May2016,2099,YES,2,YES,25Dec2019,Damage,OK,OK
25Nov2019,57,YES,1,NO,---,---,---,---
21Mar2018,1611,YES,1,NO,---,---,---,---
29Nov2017,496,NO,5,NO,---,---,---,---
29Jan2018,853,NO,3,NO,---,---,---,---
17Aug2019,225,YES,3,NO,---,---,---,---
13Dec2016,1363,NO,5,NO,---,---,---,---
9Jun2016,1118,NO,6,NO,---,---,---,---
15Jun2015,2054,NO,2,NO,---,---,---,---
11Aug2016,1580,NO,4,NO,---,---,---,---
16Oct2018,845,YES,7,NO,---,---,---,---
10Jul2015,2062,NO,3,NO,---,---,---,---
20Jul2018,1176,YES,5,NO,---,---,---,---
31Oct2019,73,NO,5,NO,---,---,---,---
3Jan2016,13,NO,2,YES,15Jan2016,OK,OK,Damage
18Jul2015,2200,YES,2,YES,14Mar2019,OK,Damage,OK
12Apr2015,1682,NO,4,NO,---,---,---,---
24Feb2019,240,NO,3,NO,---,---,---,---
27Nov2017,266,NO,3,NO,---,---,---,---
8May2017,774,NO,4,NO,---,---,---,---
28Oct2016,2437,YES,2,YES,30Apr2019,Damage,OK,OK
26May2016,531,NO,4,NO,---,---,---,---
31Dec2017,680,NO,4,NO,---,---,---,---
3Feb2019,176,NO,4,NO,---,---,---,---
28Jun2015,2658,YES,1,YES,8Nov2019,OK,Damage,OK
26Oct2019,147,YES,3,NO,---,---,---,---
5Nov2015,2400,YES,3,YES,18Jun2019,Damage,OK,OK
7Jun2015,1693,NO,4,YES,2Oct2019,OK,OK,Damage
22Apr2019,113,NO,3,NO,---,---,---,---
16Aug2017,1150,NO,3,NO,---,---,---,---
14Apr2018,732,NO,4,NO,---,---,---,---
24Feb2016,1469,YES,2,NO,---,---,---,---
9Aug2018,465,NO,4,NO,---,---,---,---
15Jun2017,1211,NO,3,NO,---,---,---,---
29Oct2019,42,NO,2,NO,---,---,---,---
15Jul2019,309,YES,2,NO,---,---,---,---
3Oct2017,909,NO,3,NO,---,---,---,---
19May2015,2905,YES,3,NO,---,---,---,---
11Feb2015,661,NO,2,NO,---,---,---,---
26Jul2017,1680,YES,5,YES,3Aug2019,Damage,OK,OK
25Feb2018,1389,YES,6,NO,---,---,---,---
3Feb2017,2525,YES,3,NO,---,---,---,---
25May2019,397,YES,2,NO,---,---,---,---
17Jul2015,1621,YES,4,NO,---,---,---,---
25Nov2019,44,NO,4,NO,---,---,---,---
28Apr2016,1777,YES,2,YES,8Jun2018,Damage,OK,OK
3Jun2015,318,NO,3,YES,3Mar2016,OK,OK,Damage
5Dec2016,2223,YES,4,NO,---,---,---,---
17Aug2015,3024,YES,2,YES,6May2019,OK,Damage,OK
27Nov2017,637,NO,3,NO,---,---,---,---
14Mar2016,1536,NO,3,NO,---,---,---,---
11Aug2018,709,YES,3,NO,---,---,---,---
24Sep2015,1362,NO,3,NO,---,---,---,---
7Oct2015,1079,NO,5,NO,---,---,---,---
18Apr2016,922,NO,3,NO,---,---,---,---
21Nov2018,493,NO,2,NO,---,---,---,---
17Feb2017,1440,YES,5,NO,---,---,---,---
20Apr2015,1021,NO,3,NO,---,---,---,---
29Jul2015,1593,NO,4,NO,---,---,---,---
31May2017,787,NO,2,NO,---,---,---,---
23Nov2019,35,NO,2,NO,---,---,---,---
21Jan2019,258,NO,4,NO,---,---,---,---
18Sep2017,850,NO,1,NO,---,---,---,---
13May2015,2365,YES,2,NO,---,---,---,---
1May2017,477,YES,2,NO,---,---,---,---
12Sep2016,784,NO,1,NO,---,---,---,---
13Jun2018,969,YES,3,NO,---,---,---,---
27Jul2017,1316,YES,2,NO,---,---,---,---
29Jul2017,730,NO,3,NO,---,---,---,---
23Sep2017,54,YES,2,YES,2Nov2017,OK,OK,Damage
28Mar2017,2328,YES,2,YES,1Jul2019,Damage,OK,OK
3Jun2015,1357,NO,4,NO,---,---,---,---
26Aug2019,127,NO,3,NO,---,---,---,---
31Jan2015,2614,NO,3,NO,---,---,---,---
26Jan2017,1065,NO,6,NO,---,---,---,---
19Feb2016,1459,NO,3,NO,---,---,---,---
1Jul2015,1682,NO,4,NO,---,---,---,---
31May2017,969,NO,3,NO,---,---,---,---
2Apr2018,66,NO,3,YES,6Jul2018,OK,OK,Damage
10Aug2019,269,YES,2,NO,---,---,---,---
24Oct2016,838,NO,2,NO,---,---,---,---
11Apr2019,375,YES,6,NO,---,---,---,---
3Jul2016,2781,YES,4,NO,---,---,---,---
30Apr2017,400,NO,1,NO,---,---,---,---
18Sep2015,1912,NO,2,NO,---,---,---,---
14Jan2019,987,YES,2,NO,---,---,---,---
30Apr2018,933,NO,4,NO,---,---,---,---
24Apr2015,1090,NO,4,NO,---,---,---,---
25Feb2017,1220,NO,2,NO,---,---,---,---
25Dec2016,1048,NO,5,NO,---,---,---,---
26Jun2018,499,NO,5,NO,---,---,---,---
18Apr2018,453,NO,2,NO,---,---,---,---
13Jan2017,2279,YES,3,YES,3May2019,Damage,OK,OK
14Jul2016,495,NO,3,YES,8Jun2018,OK,OK,Damage
10Apr2016,1933,YES,2,YES,23Oct2018,Damage,OK,OK
13May2018,742,NO,2,NO,---,---,---,---
22Jun2019,265,YES,4,NO,---,---,---,---
25Mar2019,599,YES,6,NO,---,---,---,---
18Dec2016,1727,YES,4,YES,6May2019,Damage,OK,OK
25May2015,2469,YES,5,NO,---,---,---,---
21Feb2019,864,YES,2,NO,---,---,---,---
14May2015,2411,YES,2,YES,20Dec2018,OK,OK,Damage
29Jul2015,104,YES,4,NO,---,---,---,---
14Mar2018,743,NO,2,NO,---,---,---,---
8Aug2016,1674,NO,3,NO,---,---,---,---
11Dec2015,1500,NO,2,NO,---,---,---,---
20Dec2016,1502,YES,3,YES,12Jan2019,OK,OK,Damage
24Apr2019,274,NO,2,NO,---,---,---,---
27Sep2016,2774,YES,3,NO,---,---,---,---
3Jan2015,2747,YES,2,YES,27Aug2018,Damage,OK,OK
23Jul2019,409,YES,5,NO,---,---,---,---
4Oct2019,59,NO,4,NO,---,---,---,---
15Jun2017,945,NO,3,NO,---,---,---,---
26Apr2017,1045,NO,2,NO,---,---,---,---
25Dec2017,719,YES,4,YES,12Mar2019,OK,OK,Damage
13Jul2019,422,YES,4,NO,---,---,---,---
12Nov2015,3157,YES,2,YES,22Jun2019,Damage,Damage,OK
6Dec2018,1214,YES,6,NO,---,---,---,---
1Mar2016,1558,NO,4,YES,14Jun2019,OK,OK,Damage
19Nov2017,415,YES,5,YES,19Oct2018,OK,OK,Damage
16Mar2019,327,NO,2,NO,---,---,---,---
30Aug2015,3078,YES,5,YES,25Oct2018,Damage,OK,OK
24Jun2019,325,YES,3,NO,---,---,---,---
1Apr2017,1101,NO,3,NO,---,---,---,---
21Jun2019,403,YES,2,NO,---,---,---,---
29Mar2016,441,NO,1,NO,---,---,---,---
2Jun2015,1817,NO,2,NO,---,---,---,---
30Mar2015,1293,NO,3,NO,---,---,---,---
25Nov2019,25,NO,4,NO,---,---,---,---
3Jun2017,548,NO,3,NO,---,---,---,---
24Mar2019,744,YES,3,NO,---,---,---,---
30Jan2017,991,NO,4,NO,---,---,---,---
12Jun2017,816,NO,3,NO,---,---,---,---
1Dec2015,1423,NO,2,YES,2Jan2019,Damage,OK,OK
18Oct2018,1013,YES,3,NO,---,---,---,---
11Jul2016,1596,YES,2,YES,10Mar2018,Damage,OK,OK
30Oct2015,1168,YES,2,NO,---,---,---,---
1Mar2015,1922,NO,3,YES,9Dec2019,Damage,OK,OK
7Sep2015,1415,NO,3,YES,6Jun2019,OK,OK,OK
20Nov2015,2719,YES,4,NO,---,---,---,---
6Aug2017,1284,YES,4,NO,---,---,---,---
21Jan2019,371,NO,3,NO,---,---,---,---
30Jul2015,933,NO,6,YES,2Mar2019,OK,OK,Damage
20Jun2019,105,NO,4,NO,---,---,---,---
16Nov2017,1289,YES,2,NO,---,---,---,---
